ncm,nves,nves_nm,pais_origem,fob_kg_minimo_dolar_truncado,fob_kg_maximo_dolar_truncado,fob_kg_media_dolar_truncado,fob_kg_mediana_dolar_truncado,fob_kg_desvio_padrao_dolar_truncado,fob_kg_quartil1_truncado,fob_kg_quartil3_truncado,fob_ume_minimo_dolar_truncado,fob_ume_maximo_dolar_truncado,fob_ume_media_dolar_truncado,fob_ume_mediana_dolar_truncado,fob_ume_desvio_padrao_dolar_truncado,fob_ume_quartil1_truncado,fob_ume_quartil3_truncado,vmle_soma_dolar_truncado,peso_liq_soma_truncado,qtd_ume_soma_truncado,frete_minimo_dolar_truncado,frete_media_dolar_truncado,frete_mediana_dolar_truncado,frete_maximo_dolar_truncado,frete_desvio_padrao_dolar_truncado,seguro_minimo_dolar_truncado,seguro_media_dolar_truncado,seguro_mediana_dolar_truncado,seguro_maximo_dolar_truncado,seguro_desvio_padrao_dolar_truncado,ume,ncm_str
3053210,S/NVE,S/NVE,"CHINA, REPUBLICA POPULAR",6.46,17.7,12.3,13.2,5.3,6.95,17.2,6.46,17.7,12.3,13.2,5.3,6.95,17.2,1630000.0,116000.0,116000.0,343.0,773.0,553.0,1510.0,484.0,0.0,94.7,65.5,235.0,83.8,Quilograma,03053210
3053290,S/NVE,S/NVE,"CHINA, REPUBLICA POPULAR",3.72,4.71,4.06,4.03,0.214,3.92,4.16,3.72,4.71,4.06,4.03,0.214,3.92,4.16,3330000.0,824000.0,824000.0,576.0,2120.0,2100.0,3570.0,757.0,0.0,58.4,47.6,160.0,57.4,Quilograma,03053290
3055100,S/NVE,S/NVE,NORUEGA,12.6,20.8,16.3,16.3,2.45,15.3,16.9,12.6,20.8,16.3,16.3,2.45,15.3,16.9,970000.0,59200.0,59200.0,176.0,1260.0,430.0,4260.0,1550.0,0.0,59.3,16.3,185.0,72.9,Quilograma,03055100
3055310,S/NVE,S/NVE,NORUEGA,6.5,16.2,7.79,7.47,1.48,7.28,7.73,6.5,16.2,7.79,7.47,1.48,7.28,7.73,7160000.0,946000.0,946000.0,60.2,2960.0,3070.0,4890.0,1050.0,0.0,152.0,97.9,633.0,169.0,Quilograma,03055310
3055390,S/NVE,S/NVE,"CHINA, REPUBLICA POPULAR",3.73,4.59,4.04,4.02,0.329,3.85,4.03,3.73,4.59,4.04,4.02,0.329,3.85,4.03,454000.0,114000.0,114000.0,576.0,2240.0,2600.0,2960.0,966.0,0.0,33.7,24.2,92.0,39.0,Quilograma,03055390
3061790,S/NVE,S/NVE,ARGENTINA,5.98,7.85,6.6,6.47,0.691,6.03,7.0,5.98,7.85,6.6,6.47,0.691,6.03,7.0,1100000.0,166000.0,166000.0,329.0,2330.0,1970.0,4700.0,1550.0,0.0,18.6,0.0,74.7,34.5,Quilograma,03061790
3074310,S/NVE,S/NVE,"CHINA, REPUBLICA POPULAR",3.48,4.94,4.14,4.21,0.456,3.84,4.41,3.48,4.94,4.14,4.21,0.456,3.84,4.41,984000.0,241000.0,241000.0,1600.0,2100.0,2000.0,3400.0,533.0,0.0,8.63,0.0,95.0,28.6,Quilograma,03074310
3074310,S/NVE,S/NVE,PERU,3.17,5.06,4.08,3.86,0.624,3.65,4.7,3.17,5.06,4.08,3.86,0.624,3.65,4.7,1400000.0,346000.0,346000.0,439.0,2980.0,3600.0,3800.0,1000.0,0.0,26.3,0.0,187.0,58.2,Quilograma,03074310
3089000,S/NVE,S/NVE,INDONESIA,1.83,519.0,61.3,25.7,124.0,12.7,58.1,1.83,519.0,61.3,25.7,124.0,12.7,58.1,9120.0,286.0,286.0,71.7,405.0,366.0,1350.0,305.0,0.0,0.0,0.0,0.0,0.0,Quilograma,03089000
4021010,S/NVE,S/NVE,ARGENTINA,2.8,3.9,3.0,2.95,0.182,2.86,3.12,2.8,3.9,3.0,2.95,0.182,2.86,3.12,8080000.0,2680000.0,2680000.0,182.0,1480.0,1320.0,4970.0,863.0,0.0,128.0,101.0,686.0,161.0,Quilograma,04021010
